id,prolific_id,separatePref,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,20,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,0,26097,651266,100,100,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,24,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,0,26550,725010,49,23,48
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,26,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,0,56870,789133,0,0,0
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,27,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,0,21486,810621,46,48,49
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,28,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,0,32792,843414,47,0,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,29,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,0,24857,868272,100,100,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,30,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,0,37082,905356,100,76,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,31,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,0,30556,935913,47,0,0
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,33,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,0,21499,965271,49,100,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,34,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,0,33039,998311,74,21,48
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,35,trial,10,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,0,21639,1019951,100,49,77
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,36,trial,11,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,0,35352,1055304,100,86,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,37,trial,12,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,0,36832,1092137,50,0,49
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,38,trial,13,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,0,69941,1162079,48,0,0
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,39,trial,14,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,0,20177,1182257,100,100,100
zgnmtzsaq6,63624e53b014a5fc8b293253,true,complementary,40,trial,15,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,0,26873,1209131,0,0,0